Chave Filial;Data;Area;Cd Local Estoque;Filial;Item;Nome Diretoria;Nome Grupo;Nome Agrupado;Nome Classe;Nome Cluster;Nome Complexo;Nome Regional;Nome SubGrupo;Nome Utilização;Consumo Meta;Consumo Real;Excesso;Giro Meta;Giro Real;Giro sem Excesso;Saldo Meta;Saldo Real;Saldo sem Excesso;Saldo Qtd;Consumo Qtd
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;10554 - SELO METALICO H-36 16 MM;N/D;Gerenciaveis;Total Gerenciaveis;GRAMPO ALUMÍNIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;6;6;23;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;14061 - PAPEL CREPONADO ONDUL CASP;N/D;Gerenciaveis;Total Gerenciaveis;INCUBATORIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INCUBACAO;EMBALAGENS;0;0;0;-;41.220,0;41.220,0;0;43;43;220;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;14871 - FITA DUPLA FACE 25X20 (3M);N/D;Gerenciaveis;Total Gerenciaveis;MATERIAIS DE EXPEDIENTE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;MATERIAIS DE EXPEDIENTE;MATERIAIS ADMINISTRATIVOS;0;1;0;-;0,0;0,0;0;0;0;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;15051 - BANDEJA PAPELAO PARA 30 OVOS;N/D;Gerenciaveis;Total Gerenciaveis;INCUBATORIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INCUBACAO;EMBALAGENS;0;14;0;-;58,2;58,2;0;28;28;42;27
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;22304 - ETIQ ADV BRANCA RUSSIA;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0;0;5;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;22307 - ETIQ ADV BRANCA ME 85X50 MM;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;42;42;1.264;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;22348 - ETIQ CAMARA/PRO AM 205X150MM;N/D;Gerenciaveis;Total Gerenciaveis;PASSAGEM DIRETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;3;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;22414 - BOBINA LISA E PICOTADA LENC;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3;3;6;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;22517 - SACO SANF LAT MAT DIR PE BD;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;33;33;37;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;26643 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;21;21;27;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;55122 - FILME TERMOF FUNDO 0,15;N/D;Gerenciaveis;Total Gerenciaveis;FILME PARA TERMOFORMADORA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;4;4;3;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;"58531 - TOUCA CAPILAR;DESCARTAVEL;TN";N/D;Gerenciaveis;Total Gerenciaveis;TOUCAS, GORROS E BONES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;UNIFORMES & PERTENCES;AUXILIARES DA INDUSTRIA;0;0;0;-;60,0;60,0;0;0;0;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;63116 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;25;25;59;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;63143 - ADESIVO HOT-MELT TERMOPLAST;N/D;Gerenciaveis;Total Gerenciaveis;ADESIVO HOT MELT;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;65;65;3;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;63171 - ETIQ N/AD C/IMP AMARELO MP;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3;3;16;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;64674 - FILME PL PEBD/PEBDL;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;78;78;2;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;65981 - FILME TAMPA MAT PET PE PRETO;N/D;Gerenciaveis;Total Gerenciaveis;FILME PARA TERMOFORMADORA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;6;6;5;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67044 - FOLHA MAT DIR PE AD 450 600;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;12;12;62;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67131 - ETIQUETA AD IDENTIFICACAO;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0;0;15;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67143 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;18;18;55;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67464 - SACO MATERIAL DIRETO PE BD P;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;26;26;21;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67859 - FILME PL PE BD INCOL;N/D;Gerenciaveis;Total Gerenciaveis;FILME COEX/LAMINADOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;93;93;3;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67867 - SACO MAT DIR PEBD MONOCAMADA;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;25;25;123;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67929 - FILME PEBDL 963925 DRUMET CG;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3;3;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67942 - SACO MATERIAL DIRETO PE BD P;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;16;16;12;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67947 - FILME PEBDL 490MM COXAS;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;13;13;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;67948 - FILME PEBDL SOBRECOXA CG;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;20;20;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;68238 - FILME PL PE BD INCOL;N/D;Gerenciaveis;Total Gerenciaveis;FILME COEX/LAMINADOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;14;14;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;"68317 - POTE DESCARTAVEL;100ML;CX 10";N/D;Gerenciaveis;Total Gerenciaveis;EMBALAGENS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;MATERIAIS DE REFEITORIO;MATERIAIS ADMINISTRATIVOS;0;0;0;-;90,0;90,0;0;0;0;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69050 - FILME PL PE BD 31454 INCOLOR;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;38;38;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69064 - ETIQUETA ADES BOPP TR 43032;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;20;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69065 - ETIQUETA ADES BOPP TR 43033;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;20;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69066 - ETIQUETA ADES BOPP TR 43035;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0;0;10;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69067 - ETIQUETA ADES BOPP TR 43037;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2;2;45;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69068 - ETIQUETA ADES BOPP TR 43038;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;5;5;110;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69069 - ETIQUETA ADES BOPP TR 43039;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2;2;35;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69070 - ETIQUETA ADES BOPP TR 43042;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0;0;5;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69071 - ETIQUETA ADES BOPP TR 961965;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2;2;50;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69073 - ETIQUETA ADES BOPP TR 961957;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;20;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69074 - FILME POF TRAMSP IMP RF BIG;N/D;Gerenciaveis;Total Gerenciaveis;FILMES POLIOLEFÍNICO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;49;49;167;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69220 - FILME PL PEBDL 962201 BIG TR;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;24;24;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69222 - FILME PL PEBDL 962295 BIG TR;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;17;17;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69231 - ETIQ AD PEBD BOPP TR 961973;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3;3;65;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69233 - ETIQUETA ADES BOPP TR 43041;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;10;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69240 - ETIQUETA ADES BOPP TR 961990;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;24;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69381 - FILME PL PEBDL 962198 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;13;13;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69383 - FILME PL PEBDL 962236 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;33;33;2;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69384 - FILME PL PEBDL 962244 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;4;4;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69386 - FILME PL PEBDL 962180 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;5;5;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69387 - FILME PL PEBDL 962260 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;12;12;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69403 - FILME PL PEBDL 962287 TR BIG;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;13;13;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69404 - FILME PL PEBDL 962279 TR BIG;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;15;15;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69572 - SACO MATERIAL DIRETO PE BD S;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;7;7;9;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69577 - SACO PEBD 54969;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;8;8;12;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69613 - FILME PL PEBDL 964328 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;11;11;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69614 - FILME PL PEBDL 962120 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2;2;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69820 - FILME PL PEBDL  TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69822 - FILME PL PEBDL TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;10;10;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69823 - FILME PL PEBDL  TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2;2;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69826 - FILME PL PEBDL 962104 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;11;11;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69827 - FILME PL PEBDL 962147 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;30;30;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69829 - FILME PL PEBDL 964140 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;4;4;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69830 - FILME PL PEBDL 964425 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;5;5;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69832 - FILME PL PEBDL 964336 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;4;4;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;69967 - FILME PL PEBDL 962112 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;12;12;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70055 - ETIQUETA BOPP BRANCO IMP;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;13;13;55;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70128 - SACO MATERIAL DIRETO PE BD S;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;34;34;43;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70168 - SACO MATERIAL DIRETO PE BD S;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;11;11;18;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70169 - SACO MATERIAL DIRETO PE BD S;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3;3;6;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70902 - FILME PL PEBDL 964271 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;10;10;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70903 - FILME PL PEBDL 964310 TRANSP;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;10;10;0;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;70929 - FILME PL MONOCAMADA TRA;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;10;10;1;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;71181 - ETIQUETA AD TIPO IMPR FLEX B;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1;1;27;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;71183 - ETIQUETA AD IDENTIFICACAO;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0;0;5;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;71184 - ETIQUETA AD MW61 SEARA;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0;0;5;0
30|704;Set 2026;Administrativo;1;ROLANDIA - AB. AVES;72626 - CP PALETE  2150X2300X0,100MM;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;85;85;8;0
